codigo_ciudad,day_of_week,time,rider_demand
VEC,25/09/2025,42,3
VEC,25/09/2025,43,4
VEC,25/09/2025,44,4
VEC,25/09/2025,45,3
VEC,25/09/2025,46,3
VEC,25/09/2025,47,2
VEC,25/09/2025,48,2
VEC,26/09/2025,1,0
VEC,26/09/2025,2,0
VEC,26/09/2025,3,0
VEC,26/09/2025,4,0
VEC,26/09/2025,5,0
VEC,26/09/2025,6,0
VEC,26/09/2025,7,0
VEC,26/09/2025,8,0
VEC,26/09/2025,9,0
VEC,26/09/2025,10,0
VEC,26/09/2025,11,0
VEC,26/09/2025,12,0
VEC,26/09/2025,13,0
VEC,26/09/2025,14,0
VEC,26/09/2025,15,0
VEC,26/09/2025,16,0
VEC,26/09/2025,17,0
VEC,26/09/2025,18,0
VEC,26/09/2025,19,0
VEC,26/09/2025,20,0
VEC,26/09/2025,21,0
VEC,26/09/2025,22,1
VEC,26/09/2025,23,1
VEC,26/09/2025,24,1
VEC,26/09/2025,25,1
VEC,26/09/2025,26,2
VEC,26/09/2025,27,4
VEC,26/09/2025,28,4
VEC,26/09/2025,29,4
VEC,26/09/2025,30,4
VEC,26/09/2025,31,3
VEC,26/09/2025,32,3
VEC,26/09/2025,33,2
VEC,26/09/2025,34,2
VEC,26/09/2025,35,2
VEC,26/09/2025,36,2
VEC,26/09/2025,37,2
VEC,26/09/2025,38,2
VEC,26/09/2025,39,2
VEC,26/09/2025,40,3
VEC,26/09/2025,41,4
VEC,26/09/2025,42,4
VEC,26/09/2025,43,6
VEC,26/09/2025,44,6
VEC,26/09/2025,45,6
VEC,26/09/2025,46,4
VEC,26/09/2025,47,3
VEC,26/09/2025,48,2
VEC,27/09/2025,1,0
VEC,27/09/2025,2,0
VEC,27/09/2025,3,0
VEC,27/09/2025,4,0
VEC,27/09/2025,5,0
VEC,27/09/2025,6,0
VEC,27/09/2025,7,0
VEC,27/09/2025,8,0
VEC,27/09/2025,9,0
VEC,27/09/2025,10,0
VEC,27/09/2025,11,0
VEC,27/09/2025,12,0
VEC,27/09/2025,13,0
VEC,27/09/2025,14,0
VEC,27/09/2025,15,0
VEC,27/09/2025,16,0
VEC,27/09/2025,17,0
VEC,27/09/2025,18,0
VEC,27/09/2025,19,0
VEC,27/09/2025,20,0
VEC,27/09/2025,21,0
VEC,27/09/2025,22,0
VEC,27/09/2025,23,1
VEC,27/09/2025,24,1
VEC,27/09/2025,25,1
VEC,27/09/2025,26,3
VEC,27/09/2025,27,4
VEC,27/09/2025,28,5
VEC,27/09/2025,29,5
VEC,27/09/2025,30,4
VEC,27/09/2025,31,4
VEC,27/09/2025,32,4
VEC,27/09/2025,33,4
VEC,27/09/2025,34,3
VEC,27/09/2025,35,2
VEC,27/09/2025,36,2
VEC,27/09/2025,37,2
VEC,27/09/2025,38,3
VEC,27/09/2025,39,4
VEC,27/09/2025,40,4
VEC,27/09/2025,41,4
VEC,27/09/2025,42,5
VEC,27/09/2025,43,6
VEC,27/09/2025,44,6
VEC,27/09/2025,45,6
VEC,27/09/2025,46,4
VEC,27/09/2025,47,4
VEC,27/09/2025,48,2
VEC,28/09/2025,1,0
VEC,28/09/2025,2,0
VEC,28/09/2025,3,0
VEC,28/09/2025,4,0
VEC,28/09/2025,5,0
VEC,28/09/2025,6,0
VEC,28/09/2025,7,0
VEC,28/09/2025,8,0
VEC,28/09/2025,9,0
VEC,28/09/2025,10,0
VEC,28/09/2025,11,0
VEC,28/09/2025,12,0
VEC,28/09/2025,13,0
VEC,28/09/2025,14,0
VEC,28/09/2025,15,0
VEC,28/09/2025,16,0
VEC,28/09/2025,17,0
VEC,28/09/2025,18,0
VEC,28/09/2025,19,0
VEC,28/09/2025,20,0
VEC,28/09/2025,21,0
VEC,28/09/2025,22,1
VEC,28/09/2025,23,1
VEC,28/09/2025,24,1
VEC,28/09/2025,25,2
VEC,28/09/2025,26,3
VEC,28/09/2025,27,5
VEC,28/09/2025,28,5
VEC,28/09/2025,29,6
VEC,28/09/2025,30,5
VEC,28/09/2025,31,5
VEC,28/09/2025,32,5
VEC,28/09/2025,33,4
VEC,28/09/2025,34,3
VEC,28/09/2025,35,2
VEC,28/09/2025,36,3
VEC,28/09/2025,37,3
VEC,28/09/2025,38,3
VEC,28/09/2025,39,3
VEC,28/09/2025,40,4
VEC,28/09/2025,41,4
VEC,28/09/2025,42,5
VEC,28/09/2025,43,6
VEC,28/09/2025,44,5
VEC,28/09/2025,45,5
VEC,28/09/2025,46,4
VEC,28/09/2025,47,3
VEC,28/09/2025,48,1
